order-line,Assembly Line,Scheduled Ship Date,Orig Sched Date,Status,Sales Category,Rework,Order,Sched Date Priority,Issue Reason,Issue Resolved,Contains Tag,Line,Rel,Open Qty,Total Sections,Product Code,Final Assembly,Open Value,Open Discount Value,Comment,Sales Rep Code,PM,Operations Meeting Comments,Production Comment,Fixture Type,Pick Status,MachineShop Delivered,Wiring Delivered,Production Issue,NT,Material Check,Missing Materials,Schedule Date,Status2,Production Schedule,Unit Price,Unit Time,Section Completed,Remaining Section,Remaining value,Remaining Time,Issue,Rep. Count,Year,Month,Date,Order Count,Complete/Partial,Saw,BA ,weld,lens
78889-2,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,78889,Regular,,FALSE,,2,1,2,2,"CCH-SL-1100-80-35-CL(8' 6"")-W-UNV-DP-1-C",18.8,1440,0,,IllumBos,Philip Halsey,,,"C1 8' 6""",,,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,720,9.4,2,0,0,0,,0,2019,2,8,1,Complete,TRUE,TRUE,,Done
78889-3,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,78889,Regular,,FALSE,,3,1,1,2,CCH-SL-1100-80-35-CL(17')-W-UNV-DP-1-C,16.6,1360,0,,IllumBos,Philip Halsey,,,C1 17',,,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,680,8.3,1,1,680,8.3,,0,2019,2,8,1,Complete,TRUE,TRUE,,Done
78889-4,4,2/8/2019,2/8/2019,Machine Shop Finished,Regular,FALSE,78889,Regular,,FALSE,,4,1,1,2,CCH-SL-1100-80-35-CL(16')-W-UNV-DP-1-C,14,1280,0,,IllumBos,Philip Halsey,,,C1 16',,,,FALSE,FALSE,OK,,,Machine Shop Finished -Ready,,640,7,0,2,1280,14,,0,2019,2,8,1,Complete,TRUE,TRUE,,Done
78706-1,12,2/7/2019,2/7/2019,Machine Shop Finished,Regular,FALSE,78706,Regular,Mechanical issue,FALSE,,1,1,7,7,SCS-300-80-35-FL-8'-BLK-UNV-DP-1-SB9,43.4,7000,0,,Internat,Rohan Srivastava,,,D-8',Picked - Complete,,2/4/2019 0:00,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,1000,6.2,0,7,7000,43.4,Mechanical issue,1,2019,2,7,1,Complete,TRUE,TRUE,,Done
78706-2,12,2/7/2019,2/7/2019,Machine Shop Finished,Regular,FALSE,78706,Regular,,FALSE,,2,1,10,10,SCDI-300-300-80-35-SO-FL-8-BLK-UNV-DP-1-SA(48),102,10000,0,,Internat,Rohan Srivastava,,,F-8',Picked - Complete,,2/4/2019 0:00,FALSE,FALSE,NO,,,Machine Shop Finished - Incomplete,,1000,10.2,0,10,10000,102,,0,2019,2,7,1,Complete,TRUE,TRUE,,Done
78949-1,12,2/7/2019,2/7/2019,Machine Shop Started,Regular,FALSE,78949,Regular,,FALSE,,1,1,1,1,BBDLED-400-80-30-SO-12'-W-UNV-DP-1-CTS(36),11.4,900,0,,AES,Christina Torok,,,13 LOBBY,Picked - Complete,1/29/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,900,11.4,0,1,900,11.4,,1,2019,2,7,1,Complete,TRUE,TRUE,,
79189-1,12,2/7/2019,2/7/2019,Machine Shop Started,Replacement,FALSE,79189,Regular,,FALSE,,1,1,1,1,"BBRLED-400-80-30-RG-4'7""-W-120-DP-1-D-B1(BSL310LP)",8.6,555,555,FIXTURE WAS PRODUCED WITH THE WRONG DIMENSION.,Ltg Spec,Anil Surendra Sanchara,,,"12E 604 HALL @ 55""",Picked - Complete,2/3/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,555,8.6,0,1,555,8.6,,1,2019,2,7,1,Complete,TRUE,FALSE,,Done
79201-1,12,2/13/2019,2/13/2019,Scheduled/Released,Regular,FALSE,79201,Regular,,FALSE,,1,1,2,4,CU-S-24-T8-3-W-0-0-UNV-E-1-CT9(36),61,2352.94,0,,Vanguard,Philip Halsey,,,L1-24',,2/4/2019 0:00,,FALSE,FALSE,NO,Material,,Scheduled/Released,,588.235,15.25,0,4,2352.94,61,,1,2019,2,13,1,Complete,FALSE,FALSE,,
76939-2,12,2/12/2019,2/12/2019,Machine Shop Started,Regular,FALSE,76939,High Priority,,FALSE,,2,1,2,2,BRLED-400-80-35-FL-12-W-UNV-DP-1-DF,18,1512,0,,Concordi,George Bacalla,,,F23 12',,2/4/2019 0:00,,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,756,9,0,2,1512,18,,1,2019,2,12,1,Complete,TRUE,FALSE,,Done
76939-3,12,2/12/2019,2/12/2019,Machine Shop Started,Regular,FALSE,76939,High Priority,,FALSE,,3,1,2,4,BRLED-400-80-35-FL-16-W-UNV-DP-1-DF,26.6,2016,0,,Concordi,George Bacalla,,,F23 16',,2/4/2019 0:00,,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,504,6.65,0,4,2016,26.6,,0,2019,2,12,1,Complete,TRUE,FALSE,,Done
76939-4,12,2/12/2019,2/12/2019,Machine Shop Started,Regular,FALSE,76939,High Priority,,FALSE,,4,1,2,6,BRLED-400-80-35-FL-34-W-UNV-DP-1-DF,57.4,4284,0,,Concordi,George Bacalla,,,F23 34',,2/4/2019 0:00,,FALSE,FALSE,NO,Material+Cartridge,,Machine Shop Started,,714,9.566666667,0,6,4284,57.4,,0,2019,2,12,1,Complete,TRUE,FALSE,,Done
78931-1,12,2/5/2019,2/5/2019,Packaging Finished,Regular,FALSE,78931,Regular,,FALSE,,1,1,2,2,BBDLED-1000-90-35-SO-4'-W-UNV-DP-1-CA(96)-C(BLACK CANOPIES & CORD),10.8,704,0,,CAL,Stan Buyansky,,,A,Picked - Complete,1/25/2019 0:00,1/30/2019 0:00,FALSE,FALSE,,,,Packaging Finished,,352,5.4,0,2,704,10.8,,1,2019,2,5,1,Complete,TRUE,TRUE,,Done
76028-32,4,2/8/2019,1/21/2019,Machine Shop Started,Regular,FALSE,76028,High Priority,,FALSE,,32,1,2,10,CCH-SL-1100-80-35-CL(56)-W-UNV-DP-1-C,89.6,6944,0,,ERW Ltg,George Bacalla,,,L02-56',,,,FALSE,FALSE,NO,,,Machine Shop Started,,694.4,8.96,0,10,6944,89.6,,1,2019,2,8,2,Partial,FALSE,FALSE,,
76028-44,4,2/8/2019,1/21/2019,Scheduled/Released,Regular,FALSE,76028,High Priority,,FALSE,,44,1,1,9,CCH-SL-1100-80-35-CL(80)-W-UNV-DP-1-C,63.5,4960,0,,ERW Ltg,George Bacalla,,,L02-80',,,,FALSE,FALSE,NO,,,Scheduled/Released,,551.1111111,7.055555556,0,9,4960,63.5,,1,2019,2,8,2,Partial,FALSE,FALSE,,
76191-1,4,1/17/2019,1/17/2019,Machine Shop Started,Regular,FALSE,76191,Regular,Mechanical issue,FALSE,Machining,1,1,5,5,ZESLED-SL 0/100-600-80-35-MSO-8-W-UNV-MD-1-S,56.65,3240,0,,PSGI,Sacha Lempka,Ship: Jan 18th  Edited on 1/17/2019  - Ship:1 /21  Edited on 1/18/2019 ::: Will Ship: Jan 22nd  Edited on 1/22/2019 ::: Ship: Jan 23rd  Edited on 1/22/2019::: End Caps (Misplaced) - ETA: Jay/Erin to advise  Edited on 1/24/2019  - End cap Received - SHIP: Jan 29th  Edited on 1/28/2019::: Will Ship: Jan 30th  Edited on 1/29/2019 ::: Ship: Jan 31st  Edited on 1/30/2019 - Elizabeth following up.  Edited on 2/1/2019:::: Elizabeth to follow  Edited on 2/5/2019 ,,P2,Picked - Complete,1/13/2019 0:00,1/17/2019 0:00,FALSE,FALSE,OK,,,Machine Shop Started,,648,11.33,0,5,3240,56.65,Mechanical issue,1,2019,1,17,1,Complete,TRUE,TRUE,,Done
79076-1,12,2/8/2019,2/8/2019,Machine Shop Finished,Replacement,FALSE,79076,Regular,,FALSE,,1,1,1,1,BBWDILED-640-400-80-40SO-4-W-120-BI-1-OS(1 LOS-CDT)-C(SENSOR FOR INDIRECT ONLY),9,448,448,,KSA Ltg,Anil Surendra Sanchara,,,L11 - REPLACE,Picked - Complete,2/3/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,#NAME?,,Machine Shop Finished - Incomplete,,448,9,0,1,448,9,,1,2019,2,8,1,Complete,TRUE,TRUE,,Done
78711-1,12,2/6/2019,2/6/2019,Machine Shop Finished,Regular,FALSE,78711,Regular,,FALSE,,1,1,1,1,BBWDILED-400-750-90-35-SO-2'-W-277-DP-1+GTD(1),11.2,353,0,,KSA Ltg,Joshua Zimet,,,F3,Picked - Complete,2/3/2019 0:00,2/4/2019 0:00,FALSE,FALSE,NO,Material,,Machine Shop Finished - Incomplete,,353,11.2,0,1,353,11.2,,1,2019,2,6,1,Complete,TRUE,TRUE,,Done
