Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
77257,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,4.8,2,
77053,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,7.0,2,
77914,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,7.13,2,
78064,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,8.67,2,
78148,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,7.56,2,
77509,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,54.12,2,
76712,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-14,9.82,2,
78224,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,6.0,2,
77358,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,15.32,2,
77358,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,7.66,2,
78352,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,2.5,2,
78352,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-15,9.2,2,
77658,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,7.0,2,
77414,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,33.99,2,
77047,1,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,18.27,2,
77047,2,12,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-01-16,44.7,2,
75926,1,12,2019-02-02 00:00:00,2019-02-03 00:00:00,2019-01-16,14.6,2,
77734,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,48.99,2,
77616,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,223.04,2,
78243,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,10.0,2,
77977,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,11.07,2,
69622,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,18.24,2,
77842,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,19.92,2,
77446,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,12.05,2,
77446,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,19.05,2,
77446,3,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,145.8,2,
77446,4,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,77.67,2,
77446,5,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,87.15,2,
77446,6,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,73.68,2,
74840,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,33.0,2,
74840,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,14.0,2,
77465,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,5.79,2,
78246,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-01-16,18.0,2,
78246,2,12,2019-02-03 00:00:00,2019-02-04 00:00:00,2019-01-16,18.0,2,
77982,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-17,20.0,2,
78349,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-17,10.0,2,
77714,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-17,10.56,2,
78100,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-18,21.0,2,
78100,2,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-18,16.8,2,
78100,3,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-18,8.0,2,
78296,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,141.6,4,
78296,2,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,70.8,4,
78296,3,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,45.0,4,
78296,4,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-28,19.4,4,
76702,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,35.4,6,
76702,2,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,13.6,6,
76702,3,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,8.6,6,
76702,4,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,10.5,6,
76702,5,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,8.6,6,
76702,6,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,42.0,6,
76517,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,42.0,6,
78323,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,19.0,6,
78382,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,33.0,6,
77744,1,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,48.0,6,
77744,2,12,2019-02-04 00:00:00,2019-02-04 00:00:00,2019-01-22,4.0,6,
