Order, Line, Assigned Group, Start Date, Finish day, Ship day, Assembly Time, Status 
78930,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,5.2,Machine Shop Started,
78949,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,11.4,Machine Shop Started,
79189,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,8.6,Machine Shop Started,
79322,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,3.0,Machine Shop Started,
78640,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,3.26,Machine Shop Started,
78640,3,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-07 00:00:00,26.0,Machine Shop Started,
78525,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-08 00:00:00,34.0,Machine Shop Started,
78703,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-11 00:00:00,10.5,Machine Shop Started,
76939,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,18.0,Machine Shop Started,
76939,3,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,26.6,Machine Shop Started,
76939,4,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,57.4,Machine Shop Started,
78982,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,9.4,Machine Shop Started,
78590,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,63.0,Machine Shop Started,
79014,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,9.6,Machine Shop Started,
78727,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,39.1,Machine Shop Started,
78926,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,10.3,Machine Shop Started,
79049,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,7.6,Machine Shop Started,
79049,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,38.0,Machine Shop Started,
78469,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,12.2,Machine Shop Started,
78469,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-12 00:00:00,6.1,Machine Shop Started,
79135,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,15.2,Machine Shop Started,
78943,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,30.6,Machine Shop Started,
79157,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,11.8,Machine Shop Started,
79157,2,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,17.7,Machine Shop Started,
79157,3,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,11.6,Machine Shop Started,
79234,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,8.7,Machine Shop Started,
79125,1,12,2019-02-03 00:00:00,2019-02-03 00:00:00,2019-02-13 00:00:00,12.2,Machine Shop Started,
78744,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-05 00:00:00,82.8,Machine Shop Finished,
77560,1,15,2019-02-02 00:00:00,2019-02-02 00:00:00,2019-02-06 00:00:00,86.88,Machine Shop Finished,
