Job no.,Priority,PM,Sales Category,Rework,Order,Promised,Line,OpenQty,Open Value (Discounted),Open Value,Fixture Type,Product Code,Sched. Ship Date,Final Assembly (HRS),Status,Comment,Pick Status,MachineShop Delivered,Wiring Delivered,Issue Resolved,Production Comment,Complexity ,Production Group,Total Sections,Ballast/Driver Qty,(Wiring) Pick Status,(LED) Pick Status,(MS) Pick Status,Material Check,Status2,Missing Materials,Production Schedule,Priority List MEETING,Column2,Column3,Complete/Partial,Nc Reason,Solved?,ISSUE,Schedule dashboard,Time 1,Time 2,Time Unid,Value Unid,Real sections,Real Time,Real Value,PRIORITY SEQUENCE,Column1,Column12,Real Status,PRIORITY2,Completed Sections,Remaining Sections,Column4,Saw,BA ,weld,lens,Product Name,Short Name,Order Issue
77435-1,,Zahra,Regular,FALSE,77435,High Priority,1,2,0,2870,LJ,"SKPE-10018-SL 0/100-ARC-AL(8' 0"")-1000-80-35-SO-AP-UNV-D-1-CA(48)",22.01.2019,12.6,Machine Shop Started,ON-SITE DATE 1/22. SHIPPING TO DALLAS,Picked - Complete,11.01.2019,,FALSE,,C - Small,1,2,6,,,Picked - Complete,NO,Machine Shop Started,#NAME?,,,1,#REF!,Complete,Others,TRUE,,- ,0.21,0:11:28,6.3,1435,2,12.6,2870,,- ,- ,Machine Shop Started,,0,2,,FALSE,FALSE,,Done,"SKPE-10018-SL 0/100-ARC-AL(8' 0"")-1000-80-35-SO-AP-UNV-D-1-CA(48)",SKPE,
70411-5,,Gagandeep,Regular,FALSE,70411,Regular,5,583,0,148665,L-01.4-3',SCDM-3'-(3)-1000-90-TW2750-D55-BLK-C(HS512W1186)-UNV-O(DALIDT6)-1-CA(72)-LBC,14.01.2019,2915,Wiring Started,HARVARD,Picked - Complete,,,FALSE,,A - Regular,"1,4,7",583,583,,,,OK,Wiring Started,,14.01.2019,,1,#REF!,Complete,0,FALSE,0,70411-5,48.58333333,44:12:39,5,255,583,2915,148665,,0,14.01.2019,Wiring Started,,87,496,,TRUE,TRUE,,,SCDM-3'-(3)-1000-90-TW2750-D55-BLK-C(HS512W1186)-UNV-O(DALIDT6)-1-CA(72)-LBC,SCDM,Order Flagged
70411-32,,Gagandeep,Regular,FALSE,70411,Regular,32,13,0,4420,LM-5-4',BMRLED-500-90-TW2750-FL-4'-W-UNV-DALIDT6-1-TB15-C(LBC),08.01.2019,41.6,Machine Shop Finished,HARVARD,,27.12.2018,19.12.2018,FALSE,,A - Regular,"1,4,7",13,13,Picked - Complete,,Picked - Complete,OK,Machine Shop Finished -Ready,,01.01.2020,,1,#REF!,Complete,Need for special part,FALSE,Need for special part,70411-32,0.693333333,0:37:51,3.2,340,13,41.6,4420,,0,14.01.2019,Machine Shop Finished,,0,13,,TRUE,TRUE,,Done,BMRLED-500-90-TW2750-FL-4'-W-UNV-DALIDT6-1-TB15-C(LBC),BMRLED,Order Flagged
75475-21,,Gagandeep,Regular,FALSE,75475,Regular,21,1,0,1255,"F04-12'10""-06-13D","SP18435(2)-BMPRLED-750-80-35-RG3-12'10""-C(ROCKFON723)-UNV-DP-1-TG9-TS(1)-C(ANGLED ENDS - 82°&98°)",11.01.2019,13.45,Machine Shop Started,Akamai 6th Floor,Picked - Complete,07.01.2019,09.01.2019,FALSE,,A - Regular,"1,4,7",2,4,Picked - Complete,Picked - Complete,Picked - Complete,NO,Machine Shop Started,#NAME?,01.01.2020,,1,1,Partial Order,Wrong info. In SD,TRUE,,- ,0.224166667,0:12:14,6.725,627.5,2,13.45,1255,,- ,- ,Machine Shop Started,,0,2,,FALSE,FALSE,,,"BMPRLED-750-80-35-RG3-12'10""-C",BMPRLED,
75475-23,,Gagandeep,Regular,FALSE,75475,Regular,23,1,0,695,"F04-6'6-7/8""6TH","SP18435(2)-BMPRLED-750-80-35-RG3-6'6 7/8""-C(PS541A1391)-UNV-DP-1-TG9-TS(1)-C(85° ANGLED END)",11.01.2019,6.7,Machine Shop Started,Akamai 6th Floor,Picked - Complete,07.01.2019,09.01.2019,FALSE,,A - Regular,"1,4,7",1,2,Picked - Complete,Picked - Complete,Picked - Complete,NO,Machine Shop Started,#NAME?,01.01.2020,,0,1,Partial Order,Wrong info. In SD,TRUE,,- ,0.111666667,0:06:06,6.7,695,1,6.7,695,,- ,- ,Machine Shop Started,,0,1,,FALSE,FALSE,,,"BMPRLED-750-80-35-RG3-6'6 7/8""",BMPRLED,
75475-25,,Gagandeep,Regular,FALSE,75475,Regular,25,1,0,1540,"F04-10'7-15/16""X8'1""-06-38G","SP18435(2)-BMPRLED-OPRI(107°)-750-80-35-RG3-18'8 15/16""-W-UNV-DP-1-TG9-TS(2)-C(87° ANGLED END)",11.01.2019,21.49,Machine Shop Started,Akamai 6th Floor,Picked - Complete,07.01.2019,09.01.2019,FALSE,,A - Regular,"1,4,7",3,5,Picked - Complete,Picked - Complete,Picked - Complete,OK,Machine Shop Started,#NAME?,01.01.2020,,0,1,Partial Order,Wrong info. In SD,TRUE,,- ,0.358166667,0:19:33,7.163333333,513.3333333,3,21.49,1540,,- ,- ,Machine Shop Started,,0,3,,FALSE,FALSE,,,BMPRLED-OPRI(107°)-750-80-35-R,BMPRLED,
77848-1,,Gagandeep,Regular,FALSE,77848,High Priority,1,1,0,400,F10-#14-4TH FL,"SP18276-SCRPAT-OPR-103°+77°-350-80-35-FL-94 1/4""-EX-W-UNV-DP-1-DS",25.01.2019,460.36,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",1,1,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,1,#REF!,Complete,0,FALSE,0,- ,7.672666667,6:58:56,460.36,400,1,460.36,400,,- ,- ,Scheduled/Released,,0,1,,#N/A,#N/A,#N/A,#N/A,SCRPAT-OPR-103°+77°-350-80-35-,SCRPAT,
77848-2,,Gagandeep,Regular,FALSE,77848,High Priority,2,1,0,400,F10-#6-4TH FL,"SP18276-SCRPAT-OPR-99.60°+80.40°-350-80-35-FL-104 3/32""-EX-W-UNV-DP-1-DS",25.01.2019,6.7,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",1,1,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.111666667,0:06:06,6.7,400,1,6.7,400,,- ,- ,Scheduled/Released,,0,1,,#N/A,#N/A,#N/A,#N/A,SCRPAT-OPR-99.60°+80.40°-350-8,SCRPAT,
77848-3,,Gagandeep,Regular,FALSE,77848,High Priority,3,1,0,400,F10-#21 &#22-4TH FL,"SP18276-SCRPAT-OPR-83°+97°-350-80-35-FL-154 1/4""-EX-W-UNV-DP-1-DS",25.01.2019,10.2,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",2,1,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.17,0:09:17,5.1,200,2,10.2,400,,- ,- ,Scheduled/Released,,0,2,,#N/A,#N/A,#N/A,#N/A,SCRPAT-OPR-83°+97°-350-80-35-F,SCRPAT,
77848-4,,Gagandeep,Regular,FALSE,77848,High Priority,4,1,0,400,F10-#38-4TH FL,"SP18276-SCRPAT-OPR-100°+70°-350-80-35-FL-239 7/16""-EX-W-UNV-DP-2-DS",25.01.2019,16.5,Scheduled/Released,,,,,FALSE,,A - Regular,"1,4,7",3,3,,,,NO,Scheduled/Released,Material+lens+Cartridge+Housing,,,0,#REF!,Complete,0,FALSE,0,- ,0.275,0:15:01,5.5,133.3333333,3,16.5,400,,- ,- ,Scheduled/Released,,0,3,,#N/A,#N/A,#N/A,#N/A,SCRPAT-OPR-100°+70°-350-80-35-,SCRPAT,
